covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
DMBT1,-0.038245084692005105,0.9624770235976314,0.032562122239856134,-0.10206567154231384,0.025575502158303634,0.9029702502726922,1.0259053614153946,0.0,-1.1745267833063107,0.24018409048957368,2.057787503094248
MAGEA6,0.010342325678042066,1.0103959923815342,0.025578176652673056,-0.0397899793514004,0.06047463070748453,0.9609912459645586,1.0623406463978509,0.0,0.4043417878639617,0.6859614004771672,0.5438006976538879
SFTPA1,-0.051361339471536774,0.9499353593694766,0.029981253858170166,-0.11012351724490284,0.007400838301829291,0.8957234911656163,1.0074282921910889,0.0,-1.7131151256884587,0.08669136186556159,3.5279679427471944
MAGEA3,0.003084637384224005,1.0030893997736092,0.02735527064605959,-0.05053070786939852,0.056699982637846535,0.9507247334931183,1.0583382429120982,0.0,0.11276208611258372,0.910219177470664,0.1357141120196686
COL17A1,0.08287582703267136,1.086406897804051,0.0408449737578052,0.0028211495178895457,0.16293050454745317,1.0028251327050322,1.1769548938333059,0.0,2.0290336706810677,0.04245486092700425,4.557926443209702
HP,-0.023565226792344848,0.9767102649134444,0.035747556335368996,-0.09362914974498472,0.04649869616029502,0.9106204034385724,1.0475967131694541,0.0,-0.6592122429646798,0.5097594861670485,0.9721113771343217
CLDN6,0.07094313317152272,1.0735201764447895,0.03210157574353992,0.008025200867199878,0.13386106547584556,1.0080574891070886,1.1432339739421593,0.0,2.209957970234506,0.027108079372967983,5.205133288965444
LY6K,0.12395931495196069,1.1319698158159672,0.038810015070140376,0.047893083175028814,0.20002554672889256,1.0490584873255802,1.2214339614038698,0.0,3.1940032676599612,0.0014031452908243485,9.477119881905852
MAGEA2,0.0007197756129322801,1.0007200347135599,0.028603496353270384,-0.055342047071400446,0.05678159829726501,0.9461614608417726,1.058424623410634,0.0,0.025163903183115042,0.9799242289197421,0.029257895443097277
MAGEA12,-0.004476212555167417,0.9955337907530416,0.030745182864065374,-0.06473566366683357,0.05578323855649874,0.9373151970956709,1.0573684621801362,0.0,-0.14559069545815465,0.88424451366427,0.17748273220109478
MAGEA4,0.01018289695709489,1.010234919081015,0.03253630375966815,-0.05358708660190985,0.07395288051609962,0.9478233946908621,1.0767560681106536,0.0,0.3129703064094687,0.7543032217343675,0.4067835069978141
MSLN,-0.013080032731830416,0.9870051391415856,0.032751293333485525,-0.07727138811256883,0.05111132264890799,0.9256386122001861,1.0524400471760105,0.0,-0.3993745406828606,0.6896172503618868,0.5361322318578596
SFTPC,-0.04478570041753876,0.9562023736476217,0.025302616292920584,-0.09437791706629947,0.004806516231221962,0.9099388158454579,1.0048180860597915,0.0,-1.770002749876476,0.07672668263491172,3.704127810081017
PGC,-0.05554537461349979,0.9459690997143307,0.024451719665340883,-0.1034698645176377,-0.007620884709361869,0.9017031955931667,0.9924080806053682,0.0,-2.2716346896546766,0.023108583855118346,5.435427338787806
