covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
DLL3,-0.015575887673295949,0.9845447891033939,0.04614113559831206,-0.10601085165176657,0.07485907630517469,0.8994148878858101,1.0777322621701062,0.0,-0.3375705316161691,0.7356868522252943,0.4428362863200167
SFTPD,-0.09752459442252447,0.9070800321718849,0.045803483873956975,-0.1872977731819413,-0.007751415663107636,0.829196787054048,0.992278549086222,0.0,-2.1291959950228847,0.033238048125428875,4.911020526151574
PEBP4,-0.0691663311646887,0.933171451674488,0.04356726396040008,-0.15455659943202274,0.01622393710264533,0.8567949966595305,1.0163562598000437,0.0,-1.5875757363959457,0.11238230843491326,3.15351315489887
SFTPA2,-0.07249886623135939,0.9300668011402535,0.035782426836817656,-0.14263113411096148,-0.0023665983517572875,0.8670738438791059,0.9976361998342926,0.0,-2.0261025492201394,0.04275427692998961,4.547787442359763
GKN2,-0.06303309728956583,0.9389123977193666,0.03929757467894017,-0.14005492834006172,0.013988733760930086,0.8693104843054725,1.014087033927172,0.0,-1.6039945926572838,0.10871524451875825,3.201373839438872
SCGB3A2,-0.06300752933298594,0.9389364040976795,0.03283326552483622,-0.12735954725650553,0.0013444885905336545,0.8804170641427239,1.0013453928205156,0.0,-1.919015008888618,0.054982434412944835,4.184885404463868
CLDN18,-0.07537932670607658,0.9273916351852864,0.03734629970894278,-0.14857672909144315,-0.0021819243207100297,0.8619338692305091,0.9978204543458227,0.0,-2.018388094497795,0.0435508583306781,4.5211550370307245
VSIG1,0.002718354550633302,1.0027220526264993,0.04361506380807526,-0.0827655996966106,0.08820230879787719,0.9205669030938911,1.0922090631808772,0.0,0.06232604777549363,0.950303185670999,0.07354022914733443
DMBT1,-0.04894266244544203,0.952235727001201,0.03616591723099318,-0.11982655768604522,0.021941232795161164,0.8870742795910418,1.022183711825729,0.0,-1.3532813818281797,0.17596575479184307,2.5066334057925967
MAGEA6,0.030121594112363276,1.0305798387759135,0.027403867481411024,-0.02358899918831069,0.08383218741303725,0.9766870464462631,1.0874463913040375,0.0,1.0991731051391114,0.2716925674459042,1.8799529958552785
SFTPA1,-0.06316877490363733,0.9387850169669756,0.03268804001082178,-0.12723615605005228,0.0008986062427776415,0.8805257065690728,1.000899010110331,0.0,-1.9324736167333532,0.05330107540557559,4.229691548598166
MAGEA3,0.021250362866355982,1.021477759726132,0.029167417259875414,-0.03591672448505178,0.07841745021776375,0.9647206277451948,1.0815740677732333,0.0,0.7285651203539834,0.4662677209133821,1.1007695375880693
COL17A1,0.09222214283870622,1.096608398728054,0.04503479461379842,0.0039555673445029055,0.18048871833290953,1.0039634009263594,1.197802608193995,0.0,2.047797566960589,0.0405798388614403,4.623093053469274
HP,-0.02898099738151764,0.9714349240984567,0.04039309323078637,-0.10815000533802757,0.05018801057499229,0.8974929575979337,1.0514687650406438,0.0,-0.7174740794406212,0.473081624622709,1.0798389699298478
CLDN6,0.06690427297821017,1.0691931226022364,0.03434978134211553,-0.00042006132916219685,0.13422860728558253,0.9995800268842459,1.1436542374533698,0.0,1.9477350470403219,0.05144667425914982,4.2807783718374335
LY6K,0.10721367032450203,1.1131720809099501,0.04253672255847856,0.023843226089511588,0.19058411455949248,1.0241297484788867,1.2099561442853008,0.0,2.5204967349589995,0.011718932548761267,6.415015025880114
MAGEA2,0.019782515425489606,1.0199794860981832,0.030682381218747102,-0.04035384672318289,0.07991887757416209,0.96044952709954,1.0831991923645272,0.0,0.6447516339899454,0.5190881495492154,0.9459485425876532
MAGEA12,0.01877305325900506,1.0189503749081723,0.03283279176066216,-0.0455780361037962,0.08312414262180631,0.9554450404543752,1.08667670306996,0.0,0.5717775508050934,0.5674726878990952,0.8173771368111011
MAGEA4,0.040592655818784476,1.041427799577749,0.032326578865336665,-0.02276627450066908,0.10395158613823803,0.9774909216301105,1.1095467361729234,0.0,1.255705281647091,0.2092228435846029,2.2568877168827113
MSLN,-0.04712529826842217,0.9539678595806389,0.035084863181411,-0.11589036650650311,0.021639769969658773,0.8905728545588055,1.021875607879056,0.0,-1.3431803346290532,0.17921358778215202,2.4802480697531823
SFTPC,-0.04739789495624506,0.9537078465427843,0.02779303032755355,-0.10187123341947948,0.007075443506989361,0.9031458391831664,1.0071005335969976,0.0,-1.705387803979603,0.08812212142761669,3.504351963275849
PGC,-0.07615826047482965,0.9266695397925345,0.02744985362994618,-0.12995898497042024,-0.022357535979239077,0.8781314467692248,0.9778905414885802,0.0,-2.7744505126156835,0.0055295046030825155,7.498634051705
